French,English
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
laisser,let
aucun,no
laisse,leash
parlé,speak
arrivé,come
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
type,type
leurs,their
corps,body
façon,way
écoute,listen
trouve,find
première,first
sois,be
matin,morning
point,point
venez,come
minutes,minutes
demandé,request
belle,beautiful
droit,law
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
donne,given
loin,far
croire,believe
plutôt,rather
aura,will have
jouer,to play
